,Company,Industry,Sector,Main_Office,start_up
408,Swiggy ,Technology ,Consumer digital services ,Bengaluru ,2014 
409,Synthite ,Consumer goods ,Food products ,Kochi ,1972 
410,T-Series ,Consumer services ,Broadcasting & entertainment ,Noida ,1983 
411,Tamil Nadu Newsprint and Papers Limited ,Consumer services ,Publishing ,Chennai ,1979 
412,Tamilnad Mercantile Bank ,Financials ,Banks ,Thoothukudi ,1921 
413,Tanla Platforms ,Technology ,Consumer digital services ,Hyderabad ,1999 
414,Tara International ,Consumer goods ,Automobiles ,Mumbai ,? 
415,Tata Advanced Systems ,Industrials ,Aerospace & defense ,Hyderabad ,2007 
416,Tata Business Support Services ,Industrials ,Business support services ,Hyderabad ,2004 
417,Tata Chemicals ,Chemicals ,Chemicals: diversified ,Mumbai ,1939 
418,Tata Communications ,Telecommunications ,Telecommunications service providers ,Mumbai ,1986 
419,Tata Consultancy Services ,Industrials ,Business support services ,Mumbai ,1968 
420,Tata Consumer Products ,Consumer goods ,Beverages ,Kolkata ,1964 
421,Tata Group ,Conglomerate ,— ,Mumbai ,1868 
422,Tata Interactive Systems ,Industrials ,Business support services ,Mumbai and Kolkata ,1990 
423,Tata Motors ,Consumer goods ,Automobiles ,Mumbai ,1945 
424,Tata Play ,Consumer services ,Broadcasting & entertainment ,Mumbai ,2004 
425,Tata Power ,Utilities ,Alternative electricity ,Mumbai ,1910 
426,Tata Steel ,Basic materials ,Iron & steel ,Mumbai ,1907 
427,Tata Steel BSL ,Basic materials ,Iron & steel ,New Delhi ,1987 
428,Tata Technologies ,Industrials ,Industrial engineering ,Pune ,1989 
429,Tech Mahindra ,Industrials ,Business support services ,Pune ,1986 
430,Tega Industries Ltd. ,Industrials ,Machinery: construction & handling ,Kolkata ,1976 
431,Terumo Penpol ,Health care ,Medical equipment ,Thiruvananthapuram ,1987 
432,Texmaco Rail & Engineering ,Industrials ,Railroad equipment ,Kolkata ,1939 
433,The Muthoot Group ,Conglomerate ,— ,Kochi ,1887 
434,Thermax ,Industrials ,Electrical components ,Pune ,1980 
435,Thyrocare ,Health care ,Health care facilities ,Navi Mumbai ,1996 
436,The Times Group ,Consumer services ,Broadcasting & entertainment ,Mumbai ,1838 
437,Titagarh Rail Systems ,Industrials ,Railroad equipment ,Kolkata ,1984 
438,Titan Company ,Consumer goods ,Clothing & accessories ,Bengaluru ,1984 
439,Torque Pharmaceuticals ,Health care ,Pharmaceuticals ,Mohali ,1985 
440,Torrent Group ,Conglomerate ,— ,Ahmedabad ,1959 
441,Toyota Kirloskar Motor ,Consumer goods ,Automobiles ,Bengaluru ,1997 
442,Tractors and Farm Equipment Limited ,Industrials ,Agricultural & farm machinery ,Chennai ,1960 
443,TradeIndia ,Technology ,Consumer digital services ,New Delhi ,1996 
444,Travancore Cochin Chemicals ,Chemicals ,Chemicals: diversified ,Kochi ,1961 
445,Travancore Titanium Products ,Chemicals ,Specialty chemicals ,Thiruvananthapuram ,1946 
446,Troop Comforts ,Industrials ,Defense ,Kanpur ,2021 
447,TTK Prestige ,Consumer goods ,Durable household products ,Chennai ,1955 
448,TVS Motor Company ,Consumer goods ,Automobiles ,Chennai ,1978 
449,UCO Bank ,Financials ,Banks ,Kolkata ,1943 
450,UltraTech Cement ,Industrials ,Cement ,Mumbai ,1983 
451,Union Bank of India ,Financials ,Banks ,Mumbai ,1919 
452,Unitech Group ,Real estate ,Real estate holding & development ,New Delhi ,1972 
453,United Breweries Group ,Conglomerate ,— ,Bengaluru ,1857 
454,UPL ,Chemicals ,Specialty chemicals ,Mumbai ,1969 
455,USV ,Health care ,Pharmaceuticals ,Navi Mumbai ,1961 
456,V-Guard Industries ,Consumer goods ,Consumer electronics ,Kochi ,1977 
457,VA Tech Wabag ,Utilities ,Water ,Chennai ,1924 
458,Vadilal ,Conglomerate ,— ,Ahmedabad ,1907 
459,Vedanta Limited ,Conglomerate ,— ,New Delhi ,1979 
460,Vicco Group ,Health care ,Ayurvedic producers ,Mumbai ,1952 
461,Videocon Group ,Conglomerate ,— ,Mumbai ,1979 
462,Vijaya Bank ,Financials ,Banks ,Bengaluru ,1931 
463,VIP Industries ,Consumer goods ,Recreational products ,Mumbai ,1971 
464,Vodafone Idea ,Telecommunications ,Telecommunications services ,Mumbai ,1995 
465,Voltas ,Consumer goods ,Consumer electronics ,Mumbai ,1954 
466,Voonik ,Technology ,Consumer digital services ,Bengaluru ,2013 
467,VST Industries ,Consumer goods ,Tobacco ,Hyderabad ,1930 
468,Wadia Group ,Conglomerate ,— ,Mumbai ,1736 
469,Walchandnagar Industries ,Conglomerate ,— ,Mumbai ,1908 
470,WAPCOS Limited ,Industrials ,Engineering and contracting services ,New Delhi ,1969 
471,Welspun Corp ,Industrials ,Diversified industrials ,Mumbai ,1995 
472,Welspun Energy ,Utilities ,Alternative electricity ,New Delhi ,2002 
473,Welspun Living ,Consumer goods ,Clothing & accessories ,Mumbai ,1985 
474,Welspun World ,Conglomerate ,— ,Mumbai ,1985 
475,West Bengal Electronics Industry Development Corporation ,Industrials ,Electronic & electrical equipment ,Kolkata ,1974 
476,West Bengal State Co-Operative Bank ,Financials ,Banks ,Kolkata ,1918 
477,Wipro ,Industrials ,Business support services ,Bengaluru ,1945 
478,XOLO ,Consumer goods ,Consumer electronics ,Noida ,2012 
479,Yantra India ,Industrials ,Defense ,Nagpur ,2021 
480,Yatra ,Consumer services ,Travel & tourism ,Gurugram ,2006 
481,Yebhi ,Technology ,Consumer digital services ,Gurugram ,2009 
482,Yepme ,Technology ,Consumer digital services ,Gurugram ,2011 
483,Yes Bank ,Financials ,Banks ,Mumbai ,2004 
484,Zandu Realty ,Health care ,Ayurvedic producers ,Mumbai ,1910 
485,Zee Entertainment Enterprises ,Consumer services ,Broadcasting & entertainment ,Mumbai ,1992 
486,Zee News ,Consumer services ,Broadcasting & entertainment ,Mumbai ,1999 
487,Zensar Technologies ,Technology ,Software & IT services ,Pune ,1991 
488,Zeta ,Technology ,Consumer digital services ,Mumbai ,2015 
489,Zoho Corporation ,Technology ,Software ,Chennai ,1996 
490,Zomato ,Technology ,Consumer digital services ,Gurugram ,2008 
491,Zydus Lifesciences ,Health care ,Pharmaceuticals ,Ahmedabad ,1952 
